prerequisite;advanced;m1;m2;m2_sentence;m3;m4;m4a;m4b;m5
3G;1G;;0;0;;;;;
ACCESS INTERNET SERVICE PROVIDER;1G;;0;0;;;;;
ACCESS POINT;1G;;0;0;;;;;
ACTIVE SERVER PAGE;1G;;0;0;;;;;
ADDRESSING SYSTEM;1G;;0;0;;;;;
APPLICATION LAYER;1G;;0;0;;;;;
AUDITING SOFTWARE;1G;;0;0;;;;;
BIT PATTERN;1G;;0;0;;;;;
BODY;1G;;0;0;;;;;
BRIDGE;1G;;0;0;;;;;
BROWSER;1G;;0;0;;;;;
BUS;1G;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;1G;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;1G;;0;0;;;;;
CERTIFICATE;1G;;0;0;;;;;
CERTIFICATE AUTHORITY;1G;;0;0;;;;;
CLIENT;1G;;0;0;;;;;
CLIENT SIDE;1G;;0;0;;;;;
CLIENT/SERVER MODEL;1G;;0;0;;;;;
CLOUD COMPUTING;1G;;0;0;;;;;
CLUSTER COMPUTE;1G;;0;0;;;;;
COLLISION AVOIDANCE;1G;;0;0;;;;;
COLLISION DETECTION;1G;;0;0;;;;;
COMPUTER;1G;;0;0;;;;;
COMPUTER SYSTEM;1G;;0;0;;;;;
CONTENT DELIVERY NETWORK;1G;;0;0;;;;;
DENIAL OF SERVICE;1G;;0;0;;;;;
DIGITAL SIGNATURE;1G;;0;0;;;;;
DISTRIBUTED SYSTEM;1G;;0;0;;;;;
DOMAIN;1G;;0;0;;;;;
DOMAIN NAME;1G;;0;0;;;;;
DOMAIN NAME SYSTEM;1G;;0;0;;;;;
ENCRYPTION;1G;;0;0;;;;;
END SYSTEM;1G;;0;0;;;;;
END USER;1G;;0;0;;;;;
ETHERNET NETWORK;1G;;0;0;;;;;
EXTENSIBLE MARKUP LANGUAGE;1G;;0;0;;;;;
FILE SERVER;1G;;0;0;;;;;
FILE TRANSFER PROTOCOL;1G;;0;0;;;;;
FIREWALL;1G;;0;0;;;;;
FORWARDING TABLE;1G;;0;0;;;;;
GATEWAY;1G;;0;0;;;;;
GRID COMPUTE;1G;;0;0;;;;;
HEAD;1G;;0;0;;;;;
HIDDEN TERMINAL PROBLEM;1G;;0;0;;;;;
HOP COUNT;1G;;0;0;;;;;
HOT SPOT;1G;;0;0;;;;;
HUB;1G;;0;0;;;;;
HYPERTEXT;1G;;0;0;;;;;
HYPERTEXT DOCUMENT;1G;;0;0;;;;;
HYPERTEXT MARKUP LANGUAGE;1G;;0;0;;;;;
HYPERTEXT TRANSFER PROTOCOL;1G;;0;0;;;;;
HYPERTEXT TRANSFER PROTOCOL SERVER;1G;;0;0;;;;;
INSTANT MESSAGING;1G;;0;0;;;;;
INTERNET;1G;;0;0;;;;;
INTERNET INFRASTRUCTURE;1G;;0;0;;;;;
INTERNET MAIL ACCESS PROTOCOL;1G;;0;0;;;;;
INTERNET PROTOCOL;1G;;0;0;;;;;
INTERNET PROTOCOL ADDRESS;1G;;0;0;;;;;
INTERNET PROTOCOL NETWORK;1G;;0;0;;;;;
INTERNET SERVICE PROVIDER;1G;;0;0;;;;;
INTERNET SOFTWARE;1G;;0;0;;;;;
INTERNET2;1G;;0;0;;;;;
INTERPROCESS COMMUNICATION;1G;;0;0;;;;;
INTRANET;1G;;0;0;;;;;
JAVASERVER PAGE;1G;;0;0;;;;;
LINK LAYER;1G;;0;0;;;;;
LOCAL AREA NETWORK;1G;;0;0;;;;;
MAGNETIC DISK;1G;;0;0;;;;;
MAIL SERVER;1G;;0;0;;;;;
MALICIOUS SOFTWARE;1G;;0;0;;;;;
MASS STORAGE;1G;;0;0;;;;;
METROPOLITAN AREA NETWORK;1G;;0;0;;;;;
MNEMONIC ADDRESS;1G;;0;0;;;;;
MNEMONIC DOMAIN NAME;1G;;0;0;;;;;
NAME SERVER;1G;;0;0;;;;;
NETWORK;1G;;0;0;;;;;
NETWORK LAYER;1G;;0;0;;;;;
NETWORK NEWS TRANSFER PROTOCOL;1G;;0;0;;;;;
NETWORK SOFTWARE;1G;;0;0;;;;;
OPEN NETWORK;1G;;0;0;;;;;
PEER-TO-PEER MODEL;1G;;0;0;;;;;
PERSONAL AREA NETWORK;1G;;0;0;;;;;
PHISHING;1G;;0;0;;;;;
PHONE NETWORK;1G;;0;0;;;;;
PHP;1G;;0;0;;;;;
PORT NUMBER;1G;;0;0;;;;;
POST OFFICE PROTOCOL VERSION 3;1G;;0;0;;;;;
PRINT SERVER;1G;;0;0;;;;;
PRIVATE-KEY;1G;;0;0;;;;;
PROTOCOL;1G;;0;0;;;;;
PROXY SERVER;1G;;0;0;;;;;
PUBLIC-KEY;1G;;0;0;;;;;
PUBLIC-KEY ENCRYPTION;1G;;0;0;;;;;
REGISTERED DOMAIN;1G;;0;0;;;;;
REMOTE MAIL SERVER;1G;;0;0;;;;;
REMOTE SERVER;1G;;0;0;;;;;
REPEATER;1G;;0;0;;;;;
ROUTER;1G;;0;0;;;;;
SECURE SHELL;1G;;0;0;;;;;
SECURE SOCKET LAYER;1G;;0;0;;;;;
SERVER;1G;;0;0;;;;;
SERVER SIDE;1G;;0;0;;;;;
SERVLETS;1G;;0;0;;;;;
SIMPLE MAIL TRANSFER PROTOCOL;1G;;0;0;;;;;
SOFTWARE;1G;;0;0;;;;;
SPYWARE;1G;;0;0;;;;;
STAR;1G;;0;0;;;;;
SUBDOMAINS;1G;;0;0;;;;;
SWITCH;1G;;0;0;;;;;
TAG;1G;;0;0;;;;;
TIER-1 INTERNET SERVICE PROVIDER;1G;;0;0;;;;;
TIER-2 INTERNET SERVICE PROVIDER;1G;;0;0;;;;;
TIER-3 INTERNET SERVICE PROVIDER;1G;;0;0;;;;;
TOP-LEVEL DOMAINS;1G;;0;0;;;;;
TRADITIONAL TELEPHONE;1G;;0;0;;;;;
TRANSMISSION CONTROL PROTOCOL;1G;;0;0;;;;;
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;1G;;0;0;;;;;
TRANSPORT LAYER;1G;;0;0;;;;;
TROJAN HORSE;1G;;0;0;;;;;
UNIFORM RESOURCE LOCATOR;1G;;0;0;;;;;
USER DATAGRAM PROTOCOL;1G;;0;0;;;;;
VIRUS;1G;;0;0;;;;;
VOICE OVER INTERNET PROTOCOL;1G;;0;0;;;;;
WEBSERVER;1G;;0;0;;;;;
WIDE AREA NETWORK;1G;;0;0;;;;;
WIRELESS NETWORK;1G;;0;0;;;;;
WORLD WIDE WEB;1G;;0;0;;;;;
WORM;1G;;0;0;;;;;
SECOND GENERATION;1G;;0;0;;;;;
EMAIL;1G;;0;0;;;;;
CLIENT-SIDE;1G;;0;0;;;;;
SERVER-SIDE;1G;;0;0;;;;;
SERVLET;1G;;0;0;;;;;
WEBSERVERS;1G;;0;0;;;;;
4G;1G;;0;0;;;;;
ANTIVIRUS SOFTWARE;1G;;0;0;;;;;
SEARCH ENGINE;1G;;0;0;;;;;
WIFI NETWORK;1G;;0;0;;;;;
1G;3G;;0;0;;;;;
ACCESS INTERNET SERVICE PROVIDER;3G;;0;0;;;;;
ACCESS POINT;3G;;0;0;;;;;
ACTIVE SERVER PAGE;3G;;0;0;;;;;
ADDRESSING SYSTEM;3G;;0;0;;;;;
APPLICATION LAYER;3G;;0;0;;;;;
AUDITING SOFTWARE;3G;;0;0;;;;;
BIT PATTERN;3G;;0;0;;;;;
BODY;3G;;0;0;;;;;
BRIDGE;3G;;0;0;;;;;
BROWSER;3G;;0;0;;;;;
BUS;3G;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;3G;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;3G;;0;0;;;;;
CERTIFICATE;3G;;0;0;;;;;
CERTIFICATE AUTHORITY;3G;;0;0;;;;;
CLIENT;3G;;0;0;;;;;
CLIENT SIDE;3G;;0;0;;;;;
CLIENT/SERVER MODEL;3G;;0;0;;;;;
CLOUD COMPUTING;3G;;0;0;;;;;
CLUSTER COMPUTE;3G;;0;0;;;;;
COLLISION AVOIDANCE;3G;;0;0;;;;;
COLLISION DETECTION;3G;;0;0;;;;;
COMPUTER;3G;;0;0;;;;;
COMPUTER SYSTEM;3G;;0;0;;;;;
CONTENT DELIVERY NETWORK;3G;;0;0;;;;;
DENIAL OF SERVICE;3G;;0;0;;;;;
DIGITAL SIGNATURE;3G;;0;0;;;;;
DISTRIBUTED SYSTEM;3G;;0;0;;;;;
DOMAIN;3G;;0;0;;;;;
DOMAIN NAME;3G;;0;0;;;;;
DOMAIN NAME SYSTEM;3G;;0;0;;;;;
ENCRYPTION;3G;;0;0;;;;;
END SYSTEM;3G;;0;0;;;;;
END USER;3G;;0;0;;;;;
ETHERNET NETWORK;3G;;0;0;;;;;
EXTENSIBLE MARKUP LANGUAGE;3G;;0;0;;;;;
FILE SERVER;3G;;0;0;;;;;
FILE TRANSFER PROTOCOL;3G;;0;0;;;;;
FIREWALL;3G;;0;0;;;;;
FORWARDING TABLE;3G;;0;0;;;;;
GATEWAY;3G;;0;0;;;;;
GRID COMPUTE;3G;;0;0;;;;;
HEAD;3G;;0;0;;;;;
HIDDEN TERMINAL PROBLEM;3G;;0;0;;;;;
HOP COUNT;3G;;0;0;;;;;
HOT SPOT;3G;;0;0;;;;;
HUB;3G;;0;0;;;;;
HYPERTEXT;3G;;0;0;;;;;
HYPERTEXT DOCUMENT;3G;;0;0;;;;;
HYPERTEXT MARKUP LANGUAGE;3G;;0;0;;;;;
HYPERTEXT TRANSFER PROTOCOL;3G;;0;0;;;;;
HYPERTEXT TRANSFER PROTOCOL SERVER;3G;;0;0;;;;;
INSTANT MESSAGING;3G;;0;0;;;;;
INTERNET;3G;;0;0;;;;;
INTERNET INFRASTRUCTURE;3G;;0;0;;;;;
INTERNET MAIL ACCESS PROTOCOL;3G;;0;0;;;;;
INTERNET PROTOCOL;3G;;0;0;;;;;
INTERNET PROTOCOL ADDRESS;3G;;0;0;;;;;
INTERNET PROTOCOL NETWORK;3G;;0;0;;;;;
INTERNET SERVICE PROVIDER;3G;;0;0;;;;;
INTERNET SOFTWARE;3G;;0;0;;;;;
INTERNET2;3G;;0;0;;;;;
INTERPROCESS COMMUNICATION;3G;;0;0;;;;;
INTRANET;3G;;0;0;;;;;
JAVASERVER PAGE;3G;;0;0;;;;;
LINK LAYER;3G;;0;0;;;;;
LOCAL AREA NETWORK;3G;;0;0;;;;;
MAGNETIC DISK;3G;;0;0;;;;;
MAIL SERVER;3G;;0;0;;;;;
MALICIOUS SOFTWARE;3G;;0;0;;;;;
MASS STORAGE;3G;;0;0;;;;;
METROPOLITAN AREA NETWORK;3G;;0;0;;;;;
MNEMONIC ADDRESS;3G;;0;0;;;;;
MNEMONIC DOMAIN NAME;3G;;0;0;;;;;
NAME SERVER;3G;;0;0;;;;;
NETWORK;3G;;0;0;;;;;
NETWORK LAYER;3G;;0;0;;;;;
NETWORK NEWS TRANSFER PROTOCOL;3G;;0;0;;;;;
NETWORK SOFTWARE;3G;;0;0;;;;;
OPEN NETWORK;3G;;0;0;;;;;
PEER-TO-PEER MODEL;3G;;0;0;;;;;
PERSONAL AREA NETWORK;3G;;0;0;;;;;
PHISHING;3G;;0;0;;;;;
PHONE NETWORK;3G;;0;0;;;;;
PHP;3G;;0;0;;;;;
PORT NUMBER;3G;;0;0;;;;;
POST OFFICE PROTOCOL VERSION 3;3G;;0;0;;;;;
PRINT SERVER;3G;;0;0;;;;;
PRIVATE-KEY;3G;;0;0;;;;;
PROTOCOL;3G;;0;0;;;;;
PROXY SERVER;3G;;0;0;;;;;
PUBLIC-KEY;3G;;0;0;;;;;
PUBLIC-KEY ENCRYPTION;3G;;0;0;;;;;
REGISTERED DOMAIN;3G;;0;0;;;;;
REMOTE MAIL SERVER;3G;;0;0;;;;;
REMOTE SERVER;3G;;0;0;;;;;
REPEATER;3G;;0;0;;;;;
ROUTER;3G;;0;0;;;;;
SECURE SHELL;3G;;0;0;;;;;
SECURE SOCKET LAYER;3G;;0;0;;;;;
SERVER;3G;;0;0;;;;;
SERVER SIDE;3G;;0;0;;;;;
SERVLETS;3G;;0;0;;;;;
SIMPLE MAIL TRANSFER PROTOCOL;3G;;0;0;;;;;
SOFTWARE;3G;;0;0;;;;;
SPYWARE;3G;;0;0;;;;;
STAR;3G;;0;0;;;;;
SUBDOMAINS;3G;;0;0;;;;;
SWITCH;3G;;0;0;;;;;
TAG;3G;;0;0;;;;;
TIER-1 INTERNET SERVICE PROVIDER;3G;;0;0;;;;;
TIER-2 INTERNET SERVICE PROVIDER;3G;;0;0;;;;;
TIER-3 INTERNET SERVICE PROVIDER;3G;;0;0;;;;;
TOP-LEVEL DOMAINS;3G;;0;0;;;;;
TRADITIONAL TELEPHONE;3G;;0;0;;;;;
TRANSMISSION CONTROL PROTOCOL;3G;;0;0;;;;;
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;3G;;0;0;;;;;
TRANSPORT LAYER;3G;;0;0;;;;;
TROJAN HORSE;3G;;0;0;;;;;
UNIFORM RESOURCE LOCATOR;3G;;0;0;;;;;
USER DATAGRAM PROTOCOL;3G;;0;0;;;;;
VIRUS;3G;;0;0;;;;;
VOICE OVER INTERNET PROTOCOL;3G;;0;0;;;;;
WEBSERVER;3G;;0;0;;;;;
WIDE AREA NETWORK;3G;;0;0;;;;;
WIRELESS NETWORK;3G;;0;0;;;;;
WORLD WIDE WEB;3G;;0;0;;;;;
WORM;3G;;0;0;;;;;
SECOND GENERATION;3G;;0;0;;;;;
EMAIL;3G;;0;0;;;;;
CLIENT-SIDE;3G;;0;0;;;;;
SERVER-SIDE;3G;;0;0;;;;;
SERVLET;3G;;0;0;;;;;
WEBSERVERS;3G;;0;0;;;;;
4G;3G;;0;0;;;;;
ANTIVIRUS SOFTWARE;3G;;0;0;;;;;
SEARCH ENGINE;3G;;0;0;;;;;
WIFI NETWORK;3G;;0;0;;;;;
1G;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
3G;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
ACCESS POINT;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
ACTIVE SERVER PAGE;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
ADDRESSING SYSTEM;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
APPLICATION LAYER;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
AUDITING SOFTWARE;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
BIT PATTERN;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
BODY;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
BRIDGE;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
BROWSER;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
BUS;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
CERTIFICATE;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
CERTIFICATE AUTHORITY;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
CLIENT;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
CLIENT SIDE;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
CLIENT/SERVER MODEL;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
CLOUD COMPUTING;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
CLUSTER COMPUTE;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
COLLISION AVOIDANCE;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
COLLISION DETECTION;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
COMPUTER;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
COMPUTER SYSTEM;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
CONTENT DELIVERY NETWORK;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
DENIAL OF SERVICE;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
DIGITAL SIGNATURE;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
DISTRIBUTED SYSTEM;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
DOMAIN;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
DOMAIN NAME;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
DOMAIN NAME SYSTEM;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
ENCRYPTION;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
END SYSTEM;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
END USER;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
ETHERNET NETWORK;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
EXTENSIBLE MARKUP LANGUAGE;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
FILE SERVER;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
FILE TRANSFER PROTOCOL;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
FIREWALL;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
FORWARDING TABLE;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
GATEWAY;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
GRID COMPUTE;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
HEAD;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
HIDDEN TERMINAL PROBLEM;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
HOP COUNT;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
HOT SPOT;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
HUB;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
HYPERTEXT;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
HYPERTEXT DOCUMENT;ACCESS INTERNET SERVICE PROVIDER;;0;0;;;;;
