index;prerequisite;advanced;m1;m2;m2_sentence;m3;m4;m4a;m4b;m5
1;3G;1G;0;;;;;;;0.00
2;ACCESS INTERNET SERVICE PROVIDER;1G;0;;;;;;;-1.25
3;ACCESS POINT;1G;0;;;;;;;-1.00
4;ACTIVE SERVER PAGE;1G;0;;;;;;;-0.50
5;ADDRESSING SYSTEM;1G;0;;;;;;;-0.25
6;APPLICATION LAYER;1G;0;;;;;;;-1.25
7;AUDITING SOFTWARE;1G;0;;;;;;;-1.50
8;BIT PATTERN;1G;0;;;;;;;-1.50
9;BODY;1G;0;;;;;;;-0.50
10;BRIDGE;1G;0;;;;;;;0.50
11;BROWSER;1G;0;;;;;;;-1.00
12;BUS;1G;0;;;;;;;-1.00
13;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;1G;0;;;;;;;-0.25
14;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;1G;0;;;;;;;-0.25
15;CERTIFICATE;1G;0;;;;;;;-1.50
16;CERTIFICATE AUTHORITY;1G;0;;;;;;;-1.50
17;CLIENT;1G;0;;;;;;;-1.00
18;CLIENT SIDE;1G;0;;;;;;;-1.00
19;CLIENT/SERVER MODEL;1G;0;;;;;;;0.50
20;CLOUD COMPUTING;1G;0;;;;;;;0.50
21;CLUSTER COMPUTE;1G;0;;;;;;;0.50
22;COLLISION AVOIDANCE;1G;0;;;;;;;-0.25
23;COLLISION DETECTION;1G;0;;;;;;;-0.25
24;COMPUTER;1G;0;;;;;;;-1.00
25;COMPUTER SYSTEM;1G;0;;;;;;;-1.00
26;CONTENT DELIVERY NETWORK;1G;0;;;;;;;0.00
27;DENIAL OF SERVICE;1G;0;;;;;;;-1.50
28;DIGITAL SIGNATURE;1G;0;;;;;;;-1.50
29;DISTRIBUTED SYSTEM;1G;0;;;;;;;-0.50
30;DOMAIN;1G;0;;;;;;;-1.00
31;DOMAIN NAME;1G;0;;;;;;;-1.00
32;DOMAIN NAME SYSTEM;1G;0;;;;;;;-1.00
33;ENCRYPTION;1G;0;;;;;;;-1.50
34;END SYSTEM;1G;0;;;;;;;-1.00
35;END USER;1G;0;;;;;;;-1.00
36;ETHERNET NETWORK;1G;0;;;;;;;-0.25
37;EXTENSIBLE MARKUP LANGUAGE;1G;0;;;;;;;-0.50
38;FILE SERVER;1G;0;;;;;;;-1.00
39;FILE TRANSFER PROTOCOL;1G;0;;;;;;;-1.00
40;FIREWALL;1G;0;;;;;;;-1.50
41;FORWARDING TABLE;1G;0;;;;;;;-1.00
42;GATEWAY;1G;0;;;;;;;-0.50
43;GRID COMPUTE;1G;0;;;;;;;0.50
44;HEAD;1G;0;;;;;;;0.00
45;HIDDEN TERMINAL PROBLEM;1G;0;;;;;;;0.50
46;HOP COUNT;1G;0;;;;;;;-1.25
47;HOT SPOT;1G;0;;;;;;;0.00
48;HUB;1G;0;;;;;;;0.50
49;HYPERTEXT;1G;0;;;;;;;-1.00
50;HYPERTEXT DOCUMENT;1G;0;;;;;;;-0.75
51;HYPERTEXT MARKUP LANGUAGE;1G;0;;;;;;;-0.50
52;HYPERTEXT TRANSFER PROTOCOL;1G;0;;;;;;;-1.00
53;HYPERTEXT TRANSFER PROTOCOL SERVER;1G;0;;;;;;;-1.00
54;INSTANT MESSAGING;1G;0;;;;;;;0.50
55;INTERNET;1G;0;;;;;;;-1.00
56;INTERNET INFRASTRUCTURE;1G;0;;;;;;;-0.25
57;INTERNET MAIL ACCESS PROTOCOL;1G;0;;;;;;;-1.00
58;INTERNET PROTOCOL;1G;0;;;;;;;-1.00
59;INTERNET PROTOCOL ADDRESS;1G;0;;;;;;;-1.00
60;INTERNET PROTOCOL NETWORK;1G;0;;;;;;;-1.00
61;INTERNET SERVICE PROVIDER;1G;0;;;;;;;-1.25
62;INTERNET SOFTWARE;1G;0;;;;;;;-1.00
63;INTERNET2;1G;0;;;;;;;0.00
64;INTERPROCESS COMMUNICATION;1G;0;;;;;;;0.50
65;INTRANET;1G;0;;;;;;;-1.50
66;JAVASERVER PAGE;1G;0;;;;;;;-0.50
67;LINK LAYER;1G;0;;;;;;;-1.25
68;LOCAL AREA NETWORK;1G;0;;;;;;;0.50
69;MAGNETIC DISK;1G;0;;;;;;;0.50
70;MAIL SERVER;1G;0;;;;;;;-1.00
71;MALICIOUS SOFTWARE;1G;0;;;;;;;-1.00
72;MASS STORAGE;1G;0;;;;;;;-0.50
73;METROPOLITAN AREA NETWORK;1G;0;;;;;;;0.50
74;MNEMONIC ADDRESS;1G;0;;;;;;;-0.75
75;MNEMONIC DOMAIN NAME;1G;0;;;;;;;-1.00
76;NAME SERVER;1G;0;;;;;;;-1.00
77;NETWORK;1G;0;;;;;;;-1.00
78;NETWORK LAYER;1G;0;;;;;;;-1.25
79;NETWORK NEWS TRANSFER PROTOCOL;1G;0;;;;;;;0.00
80;NETWORK SOFTWARE;1G;0;;;;;;;-1.00
81;OPEN NETWORK;1G;0;;;;;;;-1.00
82;PEER-TO-PEER MODEL;1G;0;;;;;;;0.50
83;PERSONAL AREA NETWORK;1G;0;;;;;;;0.50
84;PHISHING;1G;0;;;;;;;-1.50
85;PHONE NETWORK;1G;0;;;;;;;-0.50
86;PHP;1G;0;;;;;;;-0.50
87;PORT NUMBER;1G;0;;;;;;;-1.25
88;POST OFFICE PROTOCOL VERSION 3;1G;0;;;;;;;-1.00
89;PRINT SERVER;1G;0;;;;;;;0.50
90;PRIVATE-KEY;1G;0;;;;;;;-1.50
91;PROTOCOL;1G;0;;;;;;;-1.00
92;PROXY SERVER;1G;0;;;;;;;-1.50
93;PUBLIC-KEY;1G;0;;;;;;;-1.50
94;PUBLIC-KEY ENCRYPTION;1G;0;;;;;;;-1.50
95;REGISTERED DOMAIN;1G;0;;;;;;;0.00
96;REMOTE MAIL SERVER;1G;0;;;;;;;-1.00
97;REMOTE SERVER;1G;0;;;;;;;-1.00
98;REPEATER;1G;0;;;;;;;0.50
99;ROUTER;1G;0;;;;;;;-0.25
100;SECURE SHELL;1G;0;;;;;;;-1.00
101;SECURE SOCKET LAYER;1G;0;;;;;;;-1.50
102;SERVER;1G;0;;;;;;;-1.00
103;SERVER SIDE;1G;0;;;;;;;-1.00
104;SERVLETS;1G;0;;;;;;;-0.50
105;SIMPLE MAIL TRANSFER PROTOCOL;1G;0;;;;;;;-1.00
106;SOFTWARE;1G;0;;;;;;;-1.00
107;SPYWARE;1G;0;;;;;;;-1.50
108;STAR;1G;0;;;;;;;-1.00
