PR containing manual concept,prerequisite,advanced,sentID,weight,agreem,sent-1,sent,sent+1,Revised,Semantic Relation Type,Linguistic Type,Problem,Uncertain ?,Comments,Transitive,,Helper_rel,
TRUE,ACCESS INTERNET SERVICE PROVIDER,HOST,188,strong,1,Examples include cable and telephone companies that charge for their service as well as organizations such as universities or corporations that take it upon themselves to provide internet access to individuals within their organizations.,The devices that individual users connect to the access internet service providers are known as end systems or hosts.,"These end systems may be laptops or PCs, but increasingly range over a multitude of other devices including telephones, video cameras, automobiles, and home appliances.",0,,,wrong direction,,,0,"ACCESS_INTERNET_SERVICE_PROVIDER,HOST","ACCESS INTERNET SERVICE PROVIDER,HOST",0
FALSE,GATEWAY,VOICE OVER INTERNET PROTOCOL,320,strong,1,"Embedded voice over internet protocol phones are becoming increasingly common for large organizations, many of whom are replacing their traditional internal copper wire telephone systems with voice over internet protocol over Ethernet to reduce costs and enhance features.","Finally, the current generation of smartphones use wireless voice over internet protocol technology.","That is, earlier generations of wireless phones only communicated with the telephone company's network using that company's protocols.",0,,,annotation error,,,0,"GATEWAY,VOICE_OVER_INTERNET_PROTOCOL","GATEWAY,VOICE OVER INTERNET PROTOCOL",0
TRUE,BROWSER,WEBSERVER,358,strong,1,"Common Internet browsers include Firefox, Safari, and Internet Explorer.",The webserver resides on a computer containing hypertext documents to be accessed.,Its task is to provide access to the documents under its control as requested by clients (browsers).,0,,,co-requisites,,,0,"BROWSER,WEBSERVER","BROWSER,WEBSERVER",0
FALSE,COMPUTER,HYPERTEXT TRANSFER PROTOCOL,360,strong,1,Its task is to provide access to the documents under its control as requested by clients (browsers).,Hypertext documents are normally transferred between browsers and webservers using a protocol known as the hypertext transfer protocol (HTTP).,"In order to locate and retrieve documents on the Web, each document is given a unique address called a uniform resource locator (URL).",0,,,too far,,,1,"COMPUTER,HYPERTEXT_TRANSFER_PROTOCOL","COMPUTER,HYPERTEXT TRANSFER PROTOCOL",1
TRUE,COMMON GATEWAY INTERFACE,SERVLETS,474,strong,1,An early means of controlling server-side activities was to use a set of standards called CGI (Common Gateway Interface) by which clients could request the execution of programs stored at a server.,A variation of this approach (developed by Sun Microsystems) is to allow clients to cause program units called servlets to be executed at the server side.,"A simplified version of the servlet approach is applicable when the requested server-side activity is the construction of a customized webpage, as in our travel agent example.",0,,,not a concept,,,0,"COMMON_GATEWAY_INTERFACE,SERVLETS","COMMON GATEWAY INTERFACE,SERVLETS",0
TRUE,SERVER,SERVLETS,474,strong,1,An early means of controlling server-side activities was to use a set of standards called CGI (Common Gateway Interface) by which clients could request the execution of programs stored at a server.,A variation of this approach (developed by Sun Microsystems) is to allow clients to cause program units called servlets to be executed at the server side.,"A simplified version of the servlet approach is applicable when the requested server-side activity is the construction of a customized webpage, as in our travel agent example.",0,,,not a concept,,,1,"SERVER,SERVLETS","SERVER,SERVLETS",1
TRUE,SERVER SIDE,SERVLET,474,strong,1,An early means of controlling server-side activities was to use a set of standards called CGI (Common Gateway Interface) by which clients could request the execution of programs stored at a server.,A variation of this approach (developed by Sun Microsystems) is to allow clients to cause program units called servlets to be executed at the server side.,"A simplified version of the servlet approach is applicable when the requested server-side activity is the construction of a customized webpage, as in our travel agent example.",1,p usa a o viceversa,,,,,0,"SERVER_SIDE,SERVLET","SERVER SIDE,SERVLET",0
TRUE,ACTIVE SERVER PAGE,ASP,477,strong,1,In this case webpage templates called javaserver pages (JSP) are stored at the webserver and completed using information received from a client.,"A similar approach is used by Microsoft, where the templates from which customized webpages are constructed are called active server pages (ASP).","In contrast to these proprietary systems, PHP (originally standing for Personal Home Page but now considered to mean PHP Hypertext Preprocessor) is an open source system for implementing server-side functionality.",0,,,not a concept,,,0,"ACTIVE_SERVER_PAGE,ASP","ACTIVE SERVER PAGE,ASP",0
TRUE,COMPUTER,BUS,23,strong,1,"Still another way of classifying networks is based on the topology of the network, which refers to the pattern in which the machines are connected.","Two of the more popular topologies are the bus, in which the machines are all connected to a common communication line called a bus (Figure 4.1a), and the star, in which one machine serves as a central focal point to which all the others are connected (Figure 4.1b).","The bus topology was popularized in the 1990s when it was implemented under a set of standards known as Ethernet, and ethernet networks remain one of the most popular networking systems in use today.","0,5",p usa a o viceversa,,weight,,,1,"COMPUTER,BUS","COMPUTER,BUS",1
TRUE,COMPUTER,STAR,23,strong,1,"Still another way of classifying networks is based on the topology of the network, which refers to the pattern in which the machines are connected.","Two of the more popular topologies are the bus, in which the machines are all connected to a common communication line called a bus (Figure 4.1a), and the star, in which one machine serves as a central focal point to which all the others are connected (Figure 4.1b).","The bus topology was popularized in the 1990s when it was implemented under a set of standards known as Ethernet, and ethernet networks remain one of the most popular networking systems in use today.","0,5",p usa a o viceversa,,weight,,,1,"COMPUTER,STAR","COMPUTER,STAR",1
