;prerequisite;advanced;Direct Edge;Path;Not in Gold;TP;TN;FP;FN;Path chain;FN Path
0;NETWORK;INTERNET;1;0;0;1;0;0;0;;0
1;NETWORK;BUS;1;0;0;1;0;0;0;;0
2;NETWORK;PRINT SERVER;0;1;0;1;0;0;0;['NETWORK', 'SERVER', 'PRINT SERVER'];0
3;NETWORK;FILE SERVER;0;1;0;1;0;0;0;['NETWORK', 'SERVER', 'FILE SERVER'];0
4;NETWORK;PEER-TO-PEER MODEL;0;1;0;1;0;0;0;['NETWORK', 'INTERPROCESS COMMUNICATION', 'PEER-TO-PEER MODEL'];0
5;NETWORK;CLIENT/SERVER MODEL;1;0;0;1;0;0;0;;0
6;NETWORK;ROUTER;1;0;0;1;0;0;0;;0
7;NETWORK;INTERPROCESS COMMUNICATION;1;0;0;1;0;0;0;;0
8;NETWORK;PERSONAL AREA NETWORK;1;0;0;1;0;0;0;;0
9;NETWORK;NETWORK SOFTWARE;0;0;0;0;0;1;0;;0
10;NETWORK;MAGNETIC DISK;0;0;0;0;0;1;0;;0
11;NETWORK;OPEN NETWORK;1;0;0;1;0;0;0;;0
12;NETWORK;SWITCH;0;1;0;1;0;0;0;['NETWORK', 'BUS', 'SWITCH'];0
13;NETWORK;HUB;0;1;0;1;0;0;0;['NETWORK', 'BUS', 'HUB'];0
14;NETWORK;GATEWAY;1;0;0;1;0;0;0;;0
15;NETWORK;PROTOCOL;1;0;0;1;0;0;0;;0
16;NETWORK;SERVER;1;0;0;1;0;0;0;;0
17;NETWORK;DISTRIBUTED SYSTEM;1;0;0;1;0;0;0;;0
18;NETWORK;TIER-2 INTERNET SERVICE PROVIDER;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'TIER-2 INTERNET SERVICE PROVIDER'];0
19;NETWORK;TIER-3 INTERNET SERVICE PROVIDER;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'TIER-3 INTERNET SERVICE PROVIDER'];0
20;NETWORK;CLOUD COMPUTING;0;1;0;1;0;0;0;['NETWORK', 'DISTRIBUTED SYSTEM', 'CLOUD COMPUTING'];0
21;NETWORK;CLUSTER COMPUTE;0;1;0;1;0;0;0;['NETWORK', 'DISTRIBUTED SYSTEM', 'CLUSTER COMPUTE'];0
22;NETWORK;GRID COMPUTE;0;1;0;1;0;0;0;['NETWORK', 'DISTRIBUTED SYSTEM', 'GRID COMPUTE'];0
23;NETWORK;CLIENT;0;1;0;1;0;0;0;['NETWORK', 'INTERPROCESS COMMUNICATION', 'CLIENT'];0
24;NETWORK;STAR;1;0;0;1;0;0;0;;0
25;NETWORK;NETWORK NEWS TRANSFER PROTOCOL;0;1;0;1;0;0;0;['NETWORK', 'PROTOCOL', 'NETWORK NEWS TRANSFER PROTOCOL'];0
26;NETWORK;REGISTERED DOMAIN;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'ACCESS INTERNET SERVICE PROVIDER', 'REGISTERED DOMAIN'];0
27;NETWORK;INSTANT MESSAGING;0;1;0;1;0;0;0;['NETWORK', 'PROTOCOL', 'HYPERTEXT TRANSFER PROTOCOL', 'INSTANT MESSAGING'];0
28;NETWORK;TIER-1 INTERNET SERVICE PROVIDER;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'TIER-1 INTERNET SERVICE PROVIDER'];0
29;NETWORK;ACCESS POINT;0;1;0;1;0;0;0;['NETWORK', 'WIRELESS NETWORK', 'ACCESS POINT'];0
30;NETWORK;ACCESS INTERNET SERVICE PROVIDER;0;1;0;1;0;0;0;['NETWORK', 'INTERNET', 'ACCESS INTERNET SERVICE PROVIDER'];0
31;NETWORK;CONTENT DELIVERY NETWORK;1;0;0;1;0;0;0;;0
